name,link,affiliation,accreditation
JTIULM (Jurnal Teknologi Informasi Universitas Lambung Mangkurat),https://sinta.kemdikbud.go.id/journals/profile/7302,Universitas Lambung Mangkurat,S4 Accredited
Jurnal Ilmiah Teknologi Informasi Asia,https://sinta.kemdikbud.go.id/journals/profile/1569,Institut Teknologi dan Bisnis Asia Malang,S4 Accredited
"Jurnal Teknologi Informasi, Komputer, dan Aplikasinya (JTIKA )",https://sinta.kemdikbud.go.id/journals/profile/8541,Universitas Mataram,S4 Accredited
Jurnal Riset Sistem Informasi dan Teknologi Informasi (JURSISTEKNI),https://sinta.kemdikbud.go.id/journals/profile/10284,Universitas Nusa Putra,S5 Accredited
"JUST IT : Jurnal Sistem Informasi, Teknologi Informasi dan Komputer",https://sinta.kemdikbud.go.id/journals/profile/4991,Universitas Muhammadiyah Jakarta,S5 Accredited
Jurnal Inovasi Pendidikan dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/11102,Universitas Muhammadiyah Muara Bungo,S5 Accredited
JURNAL REKAYASA TEKNOLOGI INFORMASI,https://sinta.kemdikbud.go.id/journals/profile/7905,Universitas Mulawarman,S5 Accredited
Jurnal TIKOMSIN (Teknologi Informasi dan Komunikasi Sinar Nusantara),https://sinta.kemdikbud.go.id/journals/profile/8659,STMIK Sinar Nusantara Surakarta,S5 Accredited
Jurnal Teknologi Informasi : Jurnal Keilmuan dan Aplikasi Bidang Teknik Informatika,https://sinta.kemdikbud.go.id/journals/profile/8063,Universitas Palangka Raya,S5 Accredited
Jurnal Aplikasi Teknologi Informasi dan Manajemen (JATIM),https://sinta.kemdikbud.go.id/journals/profile/8904,Universitas Islam Madura,S5 Accredited
BIOS : Jurnal Teknologi Informasi dan Rekayasa Komputer,https://sinta.kemdikbud.go.id/journals/profile/10967,Sinergis Asa Professional,S5 Accredited
Jurnal Pengabdian Masyarakat Intimas (Jurnal INTIMAS): Inovasi Teknologi Informasi Dan Komputer Untuk Masyarakat,https://sinta.kemdikbud.go.id/journals/profile/11419,Universitas Stikubank,S5 Accredited
Jurnal Nasional Komputasi dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/12225,Universitas Serambi Mekkah Aceh,S5 Accredited
TeknoIS : Jurnal Ilmiah Teknologi Informasi dan Sains,https://sinta.kemdikbud.go.id/journals/profile/9139,Universitas Binaniaga Indonesia,S5 Accredited
LOFIAN: Jurnal Teknologi Informasi dan Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/12197,Universitas Mandiri Bina Prestasi,S5 Accredited
Infotronik : Jurnal Teknologi Informasi dan Elektronika,https://sinta.kemdikbud.go.id/journals/profile/7176,Universitas Sangga Buana,S5 Accredited
Jurnal Pendidikan Teknologi Informasi dan Vokasional,https://sinta.kemdikbud.go.id/journals/profile/10225,Universitas Lampung,S5 Accredited
Jurnal Inovatif : Inovasi Teknologi Informasi dan Informatika,https://sinta.kemdikbud.go.id/journals/profile/8309,Universitas Ibn Khaldun,S5 Accredited
Duta.com : Jurnal Ilmiah Teknologi Informasi dan Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/9955,Universitas Duta Bangsa Surakarta,S5 Accredited
JITTER (Jurnal Ilmiah Teknologi Informasi Terapan),https://sinta.kemdikbud.go.id/journals/profile/6151,Universitas Widyatama,S5 Accredited
Jurnal Teknologi Informasi dan Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/3715,Sekolah Tinggi Manajemen Informatika dan Komputer Provisi Semarang,S5 Accredited
Jurnal PTI (Jurnal Pendidikan Teknologi Informasi),https://sinta.kemdikbud.go.id/journals/profile/8511,Universitas Putra Indonesia YPTK Padang,S5 Accredited
Techno Xplore : Jurnal Ilmu Komputer dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/6574,Universitas Buana Perjuangan Karawang,S5 Accredited
Just TI (Jurnal Sains Terapan Teknologi Informasi),https://sinta.kemdikbud.go.id/journals/profile/7468,Politeknik Negeri Samarinda,S5 Accredited
Dinamika Informatika: Jurnal Ilmiah Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/7806,Universitas Stikubank,S5 Accredited
Jurnal Sains Komputer dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/6842,Institute for Research and Community Services Universitas Muhammadiyah Palangkaraya,S5 Accredited
Petik: Jurnal Pendidikan Teknologi Informasi dan Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/5474,Prodi Pendidikan Teknologi Informasi Institut Pendidikan Indonesia Garut,S5 Accredited
JurTI (Jurnal Teknologi Informasi),https://sinta.kemdikbud.go.id/journals/profile/5604,Universitas Asahan,S5 Accredited
"Jurnal Sistem Informasi, Teknologi Informasi, dan Edukasi Sistem Informasi (JUST-SI)",https://sinta.kemdikbud.go.id/journals/profile/10305,Universitas Brawijaya,S5 Accredited
Jurnal Begawe Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/9450,Universitas Mataram,S5 Accredited
Jurnal Digital Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/8447,Universitas Muhammadiyah Palembang,S5 Accredited
Jurnal Teknologi Informasi Mura,https://sinta.kemdikbud.go.id/journals/profile/6325,LPPM UNIVERSITAS BINA INSAN,S5 Accredited
JURNAL TEKNOLOGI INFORMASI,https://sinta.kemdikbud.go.id/journals/profile/4400,Universitas Respati Indonesia,S5 Accredited
"Jurnal Akuntansi, Keuangan dan Teknologi Informasi Akuntansi",https://sinta.kemdikbud.go.id/journals/profile/12102,Universitas Muhammadiyah Bengkulu,S5 Accredited
Petik: Jurnal Pendidikan Teknologi Informasi dan Komunikasi,https://sinta.kemdikbud.go.id/journals/profile/5474,Prodi Pendidikan Teknologi Informasi Institut Pendidikan Indonesia Garut,S5 Accredited
Jatilima : Jurnal Multimedia Dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/10953,Cattleya Darmaya Fortuna,S6 Accredited
Bit (Fakultas Teknologi Informasi Universitas Budi Luhur),https://sinta.kemdikbud.go.id/journals/profile/9595,Universitas Budi Luhur Jakarta,S6 Accredited
INTEK : Informatika dan Teknologi Informasi,https://sinta.kemdikbud.go.id/journals/profile/7401,Program Studi Teknologi Informasi Universitas Muhammadiyah Purworejo,S6 Accredited
JTII (Jurnal Teknologi Informasi Indonesia),https://sinta.kemdikbud.go.id/journals/profile/5405,Prodi TI Politeknik Gorontalo,S6 Accredited
Jurnal Teknologi Informasi dan Komputer,https://sinta.kemdikbud.go.id/journals/profile/642,Universitas Dhyana Pura,S6 Accredited
